"","x"
"1632",1290.838
"1633",35.42
"1634",8.217
"1635",156.381
"1636",142.778
"1637",83.73
"1638",263.998
"1639",32.928
"1640",171.977
"1641",92.315
"1642",644.945
"1643",60.91
"1644",171.303
"1645",142.778
"1646",160.583
"1647",53.04
"1648",61.874
"1649",131.034
"1650",85.448
"1651",103.606
"1652",67.29
"1653",75.501
"1654",1276.674
"1655",135.408
"1656",161.693
"1657",48.8
"1658",85.448
"1659",116.698
"1660",78.898
"1661",133.697
"1662",117.976
"1663",34.172
"1664",94.557
"1665",644.945
"1666",30.47
"1667",166.114
"1668",42.992
"1669",77.297
"1670",185.769
"1671",51.14
"1672",52.116
"1673",42.631
"1674",67.29
"1675",8.217
"1676",469.702
"1677",NA
"1678",64.814
"1679",165.29
"1680",442.728
"1681",220.125
"1682",60.91
"1683",47.944
"1684",148.22
"1685",128.181
"1686",138.471
"1687",92.315
"1688",39.896
"1689",24.914
"1690",37.007
"1691",32.928
"1692",161.693
"1693",166.114
"1694",135.408
"1695",145.655
"1696",204.015
"1697",105.834
"1698",85.448
"1699",117.976
"1700",161.693
"1701",17.542
"1702",42.631
"1703",80.799
"1704",171.303
"1705",142.778
"1706",1276.674
"1707",161.693
"1708",644.945
"1709",139.64
"1710",102.231
"1711",17.542
"1712",121.702
"1713",117.976
"1714",58.567
"1715",51.14
"1716",61.874
"1717",42.631
"1718",64.814
"1719",171.303
"1720",160.583
"1721",193.116
"1722",139.64
"1723",83.73
"1724",135.971
"1725",80.845
"1726",133.118
"1727",102.231
"1728",201.173
"1729",291.439
"1730",263.998
"1731",23.841
"1732",104.306
"1733",17.542
"1734",37.7
"1735",32.398
"1736",18.752
"1737",102.231
"1738",23.841
"1739",39.896
"1740",165.29
"1741",17.542
"1742",24.914
"1743",93.007
"1744",41.816
"1745",106.196
"1746",160.583
"1747",98.835
"1748",8.217
"1749",105.863
"1750",185.769
"1751",77.297
"1752",106.196
"1753",529.837
"1754",NA
"1755",138.471
"1756",53.04
"1757",149.731
"1758",469.702
"1759",NA
"1760",80.845
"1761",34.172
"1762",NA
"1763",127.381
"1764",263.998
"1765",83.73
"1766",201.173
"1767",42.992
"1768",131.034
"1769",42.992
"1770",61.874
"1771",201.173
"1772",128.181
"1773",94.227
"1774",86.482
"1775",93.007
"1776",119.062
"1777",92.315
"1778",137.262
"1779",206.709
"1780",161.098
"1781",47.944
"1782",139.64
"1783",1290.838
"1784",42.672
"1785",58.567
"1786",817.67
"1787",88.771
"1788",94.557
"1789",160.583
"1790",104.306
"1791",103.606
"1792",98.835
"1793",160.43
"1794",48.8
"1795",35.514
"1796",18.752
"1797",133.118
"1798",220.125
"1799",44.744
"1800",222.017
"1801",10.714
"1802",61.304
"1803",100.146
"1804",117.976
"1805",166.114
"1806",71.005
"1807",64.814
"1808",240.603
"1809",161.693
"1810",54.224
"1811",128.742
"1812",117.976
"1813",222.017
"1814",47.698
"1815",24.914
"1816",166.114
"1817",59.801
"1818",30.47
"1819",206.497
"1820",98.835
"1821",50.32
"1822",176.895
"1823",1276.674
"1824",171.303
"1825",770.961
"1826",185.769
"1827",106.196
"1828",26.347
"1829",148.601
"1830",71.013
"1831",161.693
"1832",254.86
"1833",67.29
"1834",NA
"1835",205.032
"1836",193.116
"1837",59.093
"1838",58.567
"1839",80.845
"1840",78.898
"1841",142.778
"1842",133.118
"1843",644.945
"1844",42.672
"1845",770.961
"1846",222.017
"1847",135.408
"1848",161.693
"1849",52.223
"1850",93.007
"1851",59.093
"1852",11.793
"1853",37.007
"1854",137.262
"1855",37.007
"1856",47.698
"1857",35.514
"1858",67.291
"1859",193.116
"1860",42.631
"1861",NA
"1862",24.914
"1863",59.093
"1864",148.601
"1865",78.898
"1866",59.093
"1867",185.769
"1868",29.503
"1869",50.32
"1870",86.482
"1871",40.831
"1872",131.034
"1873",160.583
"1874",135.971
"1875",319.785
"1876",78.898
"1877",40.831
"1878",16.958
"1879",52.116
"1880",51.14
