"","x"
"1280",417.953
"1281",16
"1282",61.04
"1283",764.836
"1284",211.802
"1285",12
"1286",333.261
"1287",299.851
"1288",122.469
"1289",25
"1290",46.138
"1291",35.654
"1292",177.114
"1293",12
"1294",36.665
"1295",924.53
"1296",271.475
"1297",34
"1298",1
"1299",178.081
"1300",33
"1301",2
"1302",38.761
"1303",38.048
"1304",330.653
"1305",38.048
"1306",150.689
"1307",32
"1308",92.46
"1309",270.526
"1310",710.351
"1311",3.199
"1312",262.359
"1313",112.764
"1314",129.753
"1315",2.908
"1316",333.261
"1317",1328.634
"1318",1
"1319",38
"1320",30.795
"1321",51.808
"1322",455.996
"1323",1328.634
"1324",42
"1325",28
"1326",13
"1327",13
"1328",44
"1329",2.908
"1330",40
"1331",19
"1332",49.03
"1333",270.526
"1334",18
"1335",36.16
"1336",634.009
"1337",35.654
"1338",30.795
"1339",49.03
"1340",330.653
"1341",21
"1342",455.996
"1343",118.714
"1344",83.407
"1345",924.53
"1346",61.04
"1347",343.971
"1348",113.209
"1349",38.048
"1350",3.199
"1351",120.778
"1352",2
"1353",26
"1354",48
"1355",33.363
"1356",30
"1357",33.363
"1358",69.76
"1359",133.681
"1360",121.042
"1361",299.851
"1362",57.538
"1363",40.31
"1364",66.555
"1365",9
"1366",406.955
"1367",83.493
"1368",30
"1369",53.998
"1370",269.694
"1371",132.156
"1372",38.048
"1373",26
"1374",44
"1375",69.76
"1376",46
"1377",38.761
"1378",83.493
"1379",299.851
"1380",46.138
"1381",30
"1382",28
"1383",9
"1384",121.042
"1385",365.371
"1386",14
"1387",5
"1388",36.746
"1389",46
"1390",132.156
"1391",74.962
"1392",47
"1393",27
"1394",262.359
"1395",764.836
"1396",24.498
"1397",25.682
"1398",47
"1399",417.953
"1400",406.955
"1401",49.03
"1402",65.606
"1403",118.714
"1404",1
"1405",36.746
"1406",29
"1407",1328.634
"1408",8
"1409",764.836
"1410",489.974
"1411",139.212
"1412",1
"1413",162.685
"1414",35.401
"1415",74.962
"1416",21
"1417",87.54
"1418",83.493
"1419",271.475
"1420",129.753
"1421",417.953
"1422",37
"1423",46.138
"1424",25
"1425",48
"1426",113.209
"1427",63.896
"1428",179.031
"1429",51.165
"1430",44
"1431",NA
"1432",31
"1433",8
"1434",1
"1435",35.401
"1436",112.764
"1437",83.407
"1438",83.407
"1439",365.371
"1440",27.651
"1441",51.165
"1442",20
"1443",63.896
"1444",23.165
"1445",40.852
"1446",3
"1447",42
"1448",2
"1449",132.41
"1450",36.665
"1451",2
"1452",87.54
"1453",38.761
"1454",11
"1455",37
"1456",30
"1457",20
"1458",1
"1459",36.746
"1460",13
"1461",63.029
"1462",11
"1463",63.029
"1464",13
"1465",5
"1466",151.849
"1467",26
"1468",35
"1469",710.351
"1470",10
"1471",118.714
"1472",46
"1473",365.371
"1474",29
"1475",2
"1476",34
"1477",38
"1478",30.795
"1479",40
"1480",489.974
"1481",365.371
"1482",43
"1483",634.009
"1484",17
"1485",21
"1486",18.325
"1487",11
"1488",44
"1489",35.654
"1490",83.493
"1491",192.167
"1492",39
"1493",133.681
"1494",299.851
"1495",113.209
"1496",27.651
"1497",129.753
"1498",15
"1499",133.681
"1500",86.984
"1501",112.764
"1502",16
"1503",132.41
"1504",1776.186
"1505",122.469
"1506",20
"1507",38.761
"1508",333.261
"1509",93.569
"1510",40.31
"1511",299.851
"1512",11
"1513",12
"1514",32
"1515",269.694
"1516",5
"1517",49.03
"1518",NA
"1519",177.114
"1520",36.746
"1521",211.802
"1522",271.475
"1523",7
"1524",19
"1525",40
"1526",122.469
"1527",924.53
"1528",NA
"1529",343.971
"1530",4
"1531",51.752
"1532",49.03
"1533",133.313
"1534",330.653
"1535",192.167
"1536",132.41
"1537",63.029
"1538",40.852
"1539",455.996
"1540",1
"1541",48
"1542",132.41
"1543",343.971
"1544",107.113
"1545",87.54
"1546",1776.186
"1547",57.538
"1548",73.186
"1549",73.186
"1550",40.31
"1551",73.186
"1552",14
"1553",133.313
"1554",710.351
"1555",6
"1556",271.475
"1557",132.156
"1558",34
"1559",23.165
"1560",384.494
"1561",61.04
"1562",29
"1563",8
"1564",36
"1565",40
"1566",28
"1567",40.852
"1568",34
"1569",330.653
"1570",271.475
"1571",51.808
"1572",42
"1573",133.681
"1574",222.716
"1575",1328.634
"1576",35
"1577",43
"1578",41
"1579",83.493
"1580",24.586
"1581",28
"1582",49.03
"1583",51.752
"1584",121.976
"1585",36.665
"1586",16
"1587",20
"1588",25.682
"1589",11
"1590",10
"1591",32
"1592",710.351
"1593",112.764
"1594",63.029
"1595",53.998
"1596",33
"1597",16
"1598",46
"1599",489.974
"1600",5
"1601",46.138
"1602",15
"1603",103.922
"1604",36.746
"1605",417.953
"1606",38
"1607",NA
"1608",343.971
"1609",11
"1610",1328.634
"1611",48
"1612",634.009
"1613",118.714
"1614",3.199
"1615",150.689
"1616",710.351
"1617",27.651
"1618",132.41
"1619",53.998
"1620",178.081
"1621",30
"1622",112.764
"1623",219.741
"1624",634.009
"1625",1328.634
"1626",73.186
"1627",150.689
"1628",44
"1629",42
"1630",107.113
"1631",489.974
"1632",34
"1633",129.753
"1634",90.152
"1635",178.081
"1636",45
"1637",32
"1638",66.555
"1639",74.962
"1640",27
"1641",9
"1642",417.953
"1643",3
"1644",40.247
"1645",37
"1646",6
"1647",27
"1648",13
"1649",129.753
"1650",17
"1651",211.802
"1652",16
"1653",40.31
"1654",42
"1655",262.359
"1656",2
"1657",417.953
"1658",36.746
"1659",15
"1660",46
"1661",489.974
"1662",5
"1663",8
"1664",634.009
"1665",NA
"1666",222.386
"1667",87.54
"1668",18
"1669",634.009
"1670",24
"1671",112.764
"1672",267.709
"1673",121.042
"1674",222.386
"1675",132.156
"1676",36.16
"1677",86.984
"1678",51.165
"1679",4
"1680",33
"1681",406.955
"1682",9
"1683",24.498
"1684",1328.634
"1685",24
"1686",38.048
"1687",92.46
"1688",51.165
"1689",51.165
"1690",139.212
"1691",31
"1692",113.209
"1693",30
"1694",36.665
"1695",924.53
"1696",270.526
"1697",66.555
"1698",46
"1699",93.569
"1700",18
"1701",42
"1702",48
"1703",133.681
"1704",46
"1705",406.955
"1706",29
"1707",222.386
"1708",764.836
"1709",9
"1710",40.852
"1711",65.606
"1712",53.998
"1713",262.359
"1714",150.689
"1715",35.654
"1716",270.526
"1717",90.152
"1718",20
"1719",63.029
"1720",NA
"1721",192.167
"1722",10
"1723",151.849
"1724",17
"1725",30
"1726",384.494
"1727",384.494
"1728",33
"1729",24.586
"1730",120.778
"1731",162.685
"1732",192.167
"1733",267.709
"1734",133.313
"1735",49.03
"1736",315.135
"1737",9
"1738",103.922
"1739",83.493
"1740",1363.639
"1741",63.029
"1742",17
"1743",2.908
"1744",39
"1745",33.363
"1746",83.493
"1747",4
"1748",26
"1749",27.651
"1750",211.802
"1751",417.953
"1752",192.167
"1753",13
"1754",13
"1755",20
"1756",489.974
"1757",92.46
"1758",57.538
"1759",73.186
"1760",90.152
"1761",18
"1762",1363.639
"1763",122.469
"1764",44
"1765",44
"1766",35.654
"1767",151.849
"1768",93.569
"1769",51.165
"1770",406.955
"1771",417.953
"1772",2
"1773",39
"1774",120.778
"1775",63.896
"1776",40
"1777",69.76
"1778",83.493
"1779",151.849
"1780",37
"1781",113.209
"1782",5
"1783",23
"1784",1328.634
"1785",1
"1786",18.325
"1787",74.962
"1788",315.135
"1789",39
"1790",33.363
"1791",61.04
"1792",139.212
"1793",21
"1794",17
"1795",23
"1796",219.741
"1797",32
"1798",121.042
"1799",83.493
"1800",14
"1801",42
"1802",22
"1803",20
"1804",1328.634
"1805",40.247
"1806",211.802
"1807",NA
"1808",42
"1809",120.778
"1810",20
"1811",6
"1812",118.714
"1813",211.802
"1814",25.682
"1815",33
"1816",47
"1817",32
"1818",26
"1819",365.371
"1820",24.498
"1821",132.41
"1822",33.363
"1823",32
"1824",107.113
"1825",18
"1826",19
"1827",36
"1828",53.998
"1829",38
"1830",133.313
"1831",24.498
"1832",1
"1833",NA
"1834",40.31
"1835",924.53
"1836",36.746
"1837",150.689
"1838",330.653
"1839",11
"1840",51.808
"1841",22
"1842",384.494
"1843",162.685
"1844",NA
"1845",222.716
"1846",16
"1847",455.996
"1848",51.752
"1849",NA
"1850",63.029
"1851",12.79
"1852",53.998
"1853",73.186
"1854",365.371
"1855",489.974
"1856",37
"1857",51.808
"1858",177.114
"1859",3.199
"1860",45
"1861",13
"1862",219.741
"1863",22
"1864",38.048
"1865",30.795
"1866",51.808
"1867",46.138
"1868",86.984
"1869",27
"1870",2.908
"1871",3.199
"1872",1363.639
"1873",47
"1874",38.761
"1875",73.186
"1876",83.407
"1877",14
"1878",40
"1879",73.186
"1880",2
"1881",455.996
"1882",63.896
"1883",222.386
"1884",40.852
"1885",33
"1886",267.709
"1887",178.081
"1888",16
"1889",40.852
"1890",43
"1891",417.953
"1892",271.475
"1893",489.974
"1894",38.048
"1895",333.261
"1896",113.209
"1897",43
"1898",222.386
"1899",NA
"1900",1
